uf,cep,cnpj,pais,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,motivo_situacao_cadastral,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial,ano,mes
sp,04551000,32997529000118,brasil,demais,vila_olimpia,205,,sao_paulo,olimpiadas,6462000,andar_4_conj_41,5.0,parnaiba_transmissao_e_participacoes_s.a.,,63771816.0,1135122525,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2019-03-12,,2024-05-07,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2019,3
sp,04543904,38220895000142,brasil,demais,vila_nova_conceicao,153,,sao_paulo,dr_eduardo_de_souza_aranha,7020400,andar_4,5.0,lc_investimentos_holding_s.a.,,626279.0,1135122539,,,7107.0,sociedade_anonima_fechada,,,2,"atividades_de_consultoria_em_gestao_empresarial,_exceto_consultoria_tecnica_especifica",3550308.0,2020-08-25,,2020-08-25,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2020,8
sp,01412100,02986755000132,brasil,demais,cerqueira_cesar,2840,1130801500,sao_paulo,augusta,6462000,andar_13_conj_131_conj_132_sala_08,5.0,lc_-_eh_participacoes_e_empreendimentos_s.a.,,18892402.0,1130801500,1130801481,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,1998-12-16,,2004-12-24,,2054,0,1,10,ativa,rua,sem_motivo,matriz,1998,12
sp,04534002,07071841000139,brasil,demais,itaim_bibi,466,,sao_paulo,joaquim_floriano,4110700,2_andar_sala_46_edificio_corporate,5.0,ldi_desenvolvimento_imobiliario_s.a.,,26822406.0,1137062799,,,7107.0,sociedade_anonima_fechada,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,2004-10-14,,2004-10-14,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2004,10
sp,01533000,04836002000176,brasil,demais,aclimacao,222,1132968620,sao_paulo,apeninos,6440900,conj_51e52_esfera_office,5.0,leaseplan_arrendamento_mercantil_s.a.,leaseplan,206561070.0,1132968600,,,7107.0,sociedade_anonima_fechada,,,2,arrendamento_mercantil,3550308.0,2001-11-01,,2005-09-24,,2054,0,1,16,ativa,rua,sem_motivo,matriz,2001,11
sp,01407907,36741993000108,brasil,demais,jardim_paulista,5229,,sao_paulo,nove_de_julho,7739099,sala_parte,5.0,lemvig_rj_infraestrutura_e_redes_de_telecomunicac0es_s.a,,316060480.0,1125068655,,,7107.0,sociedade_anonima_fechada,,,2,"aluguel_de_outras_maquinas_e_equipamentos_comerciais_e_industriais_nao_especificados_anteriormente,_sem_operador",3550308.0,2020-03-20,,2020-03-20,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2020,3
rj,22250040,24100518000165,brasil,demais,botafogo,440,,rio_de_janeiro,botafogo,3512300,_sala_1.801,5.0,lest_-_linhas_de_energia_do_sertao_transmissora_s.a.,,148042940.0,2140420653,,,6001.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3304557.0,2016-02-01,,2016-02-01,,2054,0,1,10,ativa,praia,sem_motivo,matriz,2016,2
sp,14808159,00873894000124,brasil,demais,2deg_distrito_industrial_(domingos_ferrari),3800,1621085636,araraquara,engenheiro_ivo_najm,7711000,,5.0,let's_rent_a_car_s/a,let's_rent_a_car,578986430.0,2721251800,,,6163.0,sociedade_anonima_aberta,,,2,locacao_de_automoveis_sem_condutor,3503208.0,1995-10-09,,2001-02-25,,2046,0,1,10,ativa,via_de_acesso,sem_motivo,matriz,1995,10
sp,01418000,35203155000100,brasil,demais,cerqueira_cesar,438,,sao_paulo,santos,6462000,andar_6_sala_6,5.0,lfp_participacoes_s.a.,,400.0,1199999999,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2019-10-16,,2019-10-16,,2054,0,1,10,ativa,alameda,sem_motivo,matriz,2019,10
go,74934600,01468594000122,brasil,demais,cidade_vera_cruz,sn,3121230000,aparecida_de_goiania,primeira_avenida,6201501,quadra01b_lote_0031_cond_empresarial_village,5.0,lg_informatica_s/a,lg_lugar_de_gente,268844000.0,6235459000,,,9227.0,sociedade_anonima_fechada,,,2,desenvolvimento_de_programas_de_computador_sob_encomenda,5201405.0,1985-08-12,,2005-11-03,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,1985,8
rs,96050080,02357251000153,brasil,demais,fragata,350-a,5332733232,pelotas,giuseppe_mattea,3250701,,5.0,lifemed_industrial_de_equipamentos_e_artigos_medicos_e_hospitalares_s.a.,,73435890.0,5332733232,,,8791.0,sociedade_anonima_aberta,,,2,"fabricacao_de_instrumentos_nao-eletronicos_e_utensilios_para_uso_medico,_cirurgico,_odontologico_e_de_laboratorio",4314407.0,1998-02-11,,2005-11-03,,2046,0,1,16,ativa,rua,sem_motivo,matriz,1998,2
pr,80420011,04368865000166,brasil,demais,batel,1001,413313334,curitiba,vicente_machado,6110803,andar_tr,5.0,ligga_telecomunicacoes_s.a.,ligga_telecom,1057131100.0,4133187722,,,7535.0,sociedade_anonima_fechada,,,2,servicos_de_comunicacao_multimidia_-_scm,4106902.0,2001-04-04,,2004-10-09,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,2001,4
rj,20080002,01917818000136,brasil,demais,centro,168,2122112612,rio_de_janeiro,marechal_floriano,3511501,parte_-_segundo_andar_-_corredor_b,5.0,light_energia_s.a,,77421580.0,2122117424,,,6001.0,sociedade_anonima_aberta,,,2,geracao_de_energia_eletrica,3304557.0,1997-06-23,,2004-12-24,,2046,0,1,16,ativa,avenida,sem_motivo,matriz,1997,6
